name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
カーナビ,Car Navigation System,汽车导航仪,차량 내비게이션,Hệ thống định vị ô tô (Car Navi),Автомобильный навигатор,Sistem Navigasi Mobil,小型家電の無料回収に出すと資源に！,Can be recycled as small electronics.,有料,燃やせないごみ
カーペット,Carpet,地毯,카펫,Thảm,Ковер,Karpet,なし,,有料,大型ごみ
カーペットローラー,Carpet Roller/Lint Roller,地毯滚筒,카펫 롤러,Cây lăn thảm,Ролик для ковра,Roller Karpet,なし,,有料,燃やせないごみ
カーボン紙,Carbon Paper,复写纸,카본지,Giấy than,Копировальная бумага,Kertas Karbon,なし,,無料,雑がみ
貝殻,Seashells,贝壳,조개껍데기,Vỏ sò,Ракушки,Cangkang Kerang,なし,,有料,燃やせるごみ
懐中電灯,Flashlight,手电筒,손전등,Đèn pin,Фонарик,Senter,小型家電の無料回収に出すと資源に！,Can be recycled as small electronics.,有料,燃やせないごみ
買物かご（木製・プラ製）,Shopping Basket (Wood/Plastic),购物篮（木制・塑料制）,쇼핑 바구니 (나무/플라스틱),Giỏ mua sắm (Gỗ/Nhựa),Корзина для покупок (дерево/пластик),Keranjang Belanja (Kayu/Plastik),なし,,有料,燃やせるごみ
買物かご（木製・プラ製以外）,Shopping Basket (Other Materials),购物篮（木制・塑料制以外）,쇼핑 바구니 (나무/플라스틱 외),Giỏ mua sắm (Chất liệu khác),Корзина для покупок (кроме дерево/пластик),Keranjang Belanja (Bahan Lain),なし,,有料,燃やせないごみ
カイロ（充電式・オイル式）,Hand Warmer (Rechargeable/Oil Type),暖手宝（充电式・油式）,손난로 (충전식/오일식),Túi sưởi tay (Sạc điện/Dầu),Грелка (перезаряжаемая/масляная),Penghangat Tangan (Isi Ulang/Minyak),充電式は、小型家電の無料回収に出すと資源に！,Rechargeable ones can be recycled as small electronics.,有料,燃やせないごみ
カイロ（使い捨て）,Hand Warmer (Disposable),暖手宝（一次性）,손난로 (일회용),Túi sưởi tay (Dùng một lần),Грелка (одноразовая),Penghangat Tangan (Sekali Pakai),なし,,有料,燃やせるごみ
鏡,Mirror,镜子,거울,Gương,Зеркало,Cermin,なし,,有料,燃やせないごみ
かき氷器,Shaved Ice Maker,刨冰机,빙수기,Máy làm đá bào,Аппарат для бритья льда,Pembuat Es Serut,電動式は、小型家電の無料回収に出すと資源に！,Electric models can be recycled as small electronics.,有料,燃やせないごみ
鍵・錠前,Keys/Lock,钥匙・锁,열쇠/자물쇠,Chìa khóa/Ổ khóa,Ключи/Замок,Kunci/Gembok,なし,,有料,燃やせないごみ
額縁（木製・プラ製）,Picture Frame (Wood/Plastic),相框（木制・塑料制）,액자 (나무/플라스틱),Khung ảnh (Gỗ/Nhựa),Рамка для фотографий (дерево/пластик),Bingkai Foto (Kayu/Plastik),なし,,有料,燃やせるごみ
額縁（木製・プラ製以外）,Picture Frame (Other Materials),相框（木制・塑料制以外）,액자 (나무/플라스틱 외),Khung ảnh (Chất liệu khác),Рамка для фотографий (кроме дерево/пластик),Bingkai Foto (Bahan Lain),なし,,有料,燃やせないごみ
掛け時計,Wall Clock,挂钟,벽시계,Đồng hồ treo tường,Настенные часы,Jam Dinding,小型家電の無料回収に出すと資源に！※木製のものは、小型家電の無料回収に出せません,Can be recycled as small electronics (excluding wooden ones).,有料,燃やせないごみ
かご,Basket,篮子,바구니,Giỏ,Корзина,Keranjang,金属製は「燃やせないごみ」,Metal baskets are Non-burnable.,有料,燃やせるごみ
傘,Umbrella,雨伞,우산,Ô/Dù,Зонт,Payung,なし,,有料,燃やせないごみ
傘などの棒状で、40リットルの指定ごみ袋から一部が飛び出すものは、大部分が指定ごみ袋に入っていて、袋の口をしっかりと縛ることができれば、指定ごみ袋を使ってごみステーションに出すことができます。,"Rod-shaped items like umbrellas that slightly stick out of a 40L designated bag, can be put out if the majority is inside and the bag is securely tied.",雨伞等棒状物，如果大部分能放入40升指定垃圾袋并能扎紧袋口，即使稍微伸出袋外，也可作为指定垃圾扔出。,"우산 등 봉 모양으로, 40리터 지정 쓰레기봉투에서 일부가 튀어나오는 것은, 대부분이 지정 쓰레기봉투 안에 들어가 있고 봉투 입구를 단단히 묶을 수 있다면, 지정 쓰레기봉투를 사용하여 쓰레기장에 배출할 수 있습니다.","Các vật dụng hình que như ô/dù, nếu phần lớn nằm gọn trong túi rác 40 lít và có thể buộc chặt miệng túi, thì có thể vứt ra trạm rác bằng túi rác chỉ định, ngay cả khi một phần thò ra ngoài.","Палочкообразные предметы, такие как зонты, которые немного торчат из 40-литрового мешка, можно выбрасывать, если большая часть находится внутри, а мешок плотно завязан.","Benda berbentuk tongkat seperti payung, jika sebagian kecilnya mencuat dari kantong sampah 40 liter, masih dapat dibuang menggunakan kantong sampah yang ditentukan asalkan sebagian besar benda berada di dalam dan mulut kantong dapat diikat dengan erat.",なし,Item is handled as Non-burnable (Fee Required) if secured properly in the bag.,有料,燃やせないごみ
傘立て,Umbrella Stand,伞架,우산꽂이,Giá để ô/dù,Подставка для зонтов,Tempat Payung,木製はリユース（再利用）収集対象,Wooden ones may be eligible for reuse collection.,有料,大型ごみ
加湿器,Humidifier,加湿器,가습기,Máy tạo độ ẩm,Увлажнитель воздуха,Pelembap Udara,小型家電の無料回収に出すと資源に！,Can be recycled as small electronics.,有料,燃やせないごみ
菓子などの空き箱（紙製）,Empty Snack Boxes (Paper),零食空盒（纸制）,과자 등의 빈 상자 (종이),Hộp đựng bánh kẹo rỗng (Giấy),Пустые коробки от сладостей (бумага),Kotak Makanan Ringan Kosong (Kertas),なし,,無料,雑がみ
菓子などの空き箱（木製）,Empty Snack Boxes (Wood),零食空盒（木制）,과자 등의 빈 상자 (나무),Hộp đựng bánh kẹo rỗng (Gỗ),Пустые коробки от сладостей (дерево),Kotak Makanan Ringan Kosong (Kayu),なし,,有料,燃やせるごみ
菓子などの缶（金属製）,Snack Tins (Metal),零食罐（金属制）,과자 등의 캔 (금속),Hộp/Lon đựng bánh kẹo (Kim loại),Банки от сладостей (металлические),Kaleng Makanan Ringan (Logam),なし,,無料,びん・缶・ペットボトル
菓子などの個包装（紙製）,Individual Snack Wrappers (Paper),零食独立包装（纸制）,과자 등의 개별 포장 (종이),Bao bì cá nhân của bánh kẹo (Giấy),Индивидуальная упаковка сладостей (бумага),Pembungkus Makanan Ringan Individual (Kertas),なし,,無料,雑がみ
菓子などの個包装（プラ製）,Individual Snack Wrappers (Plastic),零食独立包装（塑料制）,과자 등의 개별 포장 (플라스틱),Bao bì cá nhân của bánh kẹo (Nhựa),Индивидуальная упаковка сладостей (пластик),Pembungkus Makanan Ringan Individual (Plastik),なし,,無料,容器包装プラスチック
菓子などの袋（アルミ蒸着）,Snack Bags (Aluminum Vaporized),零食袋（镀铝）,과자 봉투 (알루미늄 증착),Túi bánh kẹo (Mạ nhôm),Пакеты от сладостей (алюминизированные),Kantong Makanan Ringan (Dilapisi Aluminium),スナック菓子など,"E.g., snack food bags.",無料,容器包装プラスチック
菓子などの袋（プラ製）,"Plastic bags (for snacks, etc.)",零食袋（塑料制）,과자 등의 봉투 (플라스틱제),Túi đựng bánh kẹo (nhựa),Пакетики от сладостей (пластиковые),Kantong makanan ringan (plastik),なし,N/A,無料,容器包装プラスチック
菓子箱・缶の中の仕切り・中ぶた（紙製）,Dividers/inner lids inside snack boxes/cans (paper),零食盒/罐内的隔板、内盖（纸制）,과자 상자/캔 내부의 칸막이/속뚜껑 (종이),Miếng ngăn/nắp trong hộp/lon bánh kẹo (giấy),Перегородки/внутренние крышки в коробках/банках от сладостей (бумажные),Pembatas/tutup dalam kotak/kaleng makanan ringan (kertas),なし,N/A,無料,雑がみ
菓子箱・缶の中の仕切り・中ぶた（プラ製）,Dividers/inner lids inside snack boxes/cans (plastic),零食盒/罐内的隔板、内盖（塑料制）,과자 상자/캔 내부의 칸막이/속뚜껑 (플라스틱),Miếng ngăn/nắp trong hộp/lon bánh kẹo (nhựa),Перегородки/внутренние крышки в коробках/банках от сладостей (пластиковые),Pembatas/tutup dalam kotak/kaleng makanan ringan (plastik),なし,N/A,無料,容器包装プラスチック
ガスこんろ,Gas stove,燃气灶,가스레인지,Bếp gas,Газовая плита,Kompor gas,なし,N/A,有料,大型ごみ
ガス台,Gas table (Kitchen cabinet for gas stove),燃气台,가스대,Kệ bếp gas,Газовая подставка,Meja kompor gas,なし,N/A,有料,大型ごみ
ガスレンジマット,Gas range mat,燃气灶垫,가스레인지 매트,Thảm bếp gas,Коврик для газовой плиты,Alas kompor gas,なし,N/A,有料,燃やせるごみ
カセットこんろ,Portable cassette stove,卡式炉,휴대용 가스레인지,Bếp gas mini,Портативная газовая плитка,Kompor kaset portabel,なし,N/A,有料,燃やせないごみ
カセットテープ（ケースを含む）,Cassette tape (including case),磁带（含外壳）,카세트 테이프 (케이스 포함),Băng cassette (kể cả hộp),Кассетная лента (включая футляр),Pita kaset (termasuk wadah),なし,N/A,有料,燃やせるごみ
カセットデッキ,Cassette deck,盒式录音机,카세트 데크,Đầu cassette,Кассетный магнитофон,Dek kaset,小型家電の無料回収に出すと資源に！,Can be recycled if submitted to the free small appliance collection!,有料,燃やせないごみ
カセットボンベ,Butane cartridge,卡式炉气罐,부탄가스통,Bình gas mini,Газовый картридж,Kartrid gas butana,使い切って 使いきれない場合 の処分方法は、「スプレー缶・カセットボンベ」のページでご確認ください。,Use completely. Check the 'Spray cans/Butane cartridges' page for disposal of unused items.,無料,スプレー缶・カセットボンベ
ガソリン携行缶,Gasoline container/can,汽油携行罐,휘발유 휴대용 캔,Bình đựng xăng,Канистра для бензина,Jerigen bensin,中身を空にして,Empty the contents completely.,有料,燃やせないごみ
カタログ,Catalog,宣传册/目录,카탈로그,Catalogue,Каталог,Katalog,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。やむを得ない場合は「雑がみ」で収集,"Check the webpage for paper collection points/group recycling. If unavoidable, dispose as 'Miscellaneous paper.'",-,集団資源回収など
カッターナイフ,Cutter knife,美工刀,커터칼,Dao rọc giấy,Канцелярский нож,Pisau cutter,厚紙などで包んで、「キケン」と表示,Wrap in thick paper/cardboard and mark as 'DANGER.',有料,燃やせないごみ
カット綿,Cotton pads/wadding,药棉,탈지면,Bông y tế,Вата (медицинская),Kapas potong,なし,N/A,有料,燃やせるごみ
カッパ（化繊のもの・ゴム・ビニール製）,"Raincoat (synthetic fiber, rubber, or vinyl)",雨衣（化纤、橡胶、塑料制）,"우비 (합성 섬유, 고무, 비닐제)","Áo mưa (sợi tổng hợp, cao su, vinyl)","Дождевик (синтетика, резина, винил)","Jas hujan (serat sintetis, karet, atau vinil)",なし,N/A,有料,燃やせるごみ
