id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目
675,太平百合が原まちづくりセンター,北海道札幌市北区 太平8条7-2-1,なし,011-771-9180,B,なし,なし,なし,なし,なし,なし,使用済み食用油
676,びっくりドンキーファーム太平店,北海道札幌市北区 太平9条1-2-3,なし,011-770-2182,A,なし,なし,なし,なし,なし,なし,使用済み食用油
677,太平百合が原地区センター,北海道札幌市北区 太平12条2-1-17,なし,011-770-6531,B,なし,なし,なし,なし,なし,なし,使用済み食用油
678,屯田まちづくりセンター,北海道札幌市北区 屯田5条6-3-21,屯田地区センター内,011-772-1260,B,なし,なし,なし,なし,なし,なし,使用済み食用油
679,コープさっぽろ屯田店,北海道札幌市北区 屯田5条7-1-1,なし,011-772-8551,B,なし,なし,なし,なし,なし,なし,使用済み食用油
680,北消防署屯田出張所,北海道札幌市北区 屯田5条10,なし,011-771-0311,B,なし,なし,なし,なし,なし,なし,使用済み食用油
681,コスモ石油セルフ屯田７条店,北海道札幌市北区 屯田7条4-7-1,なし,011-775-7795,B,なし,なし,なし,なし,なし,なし,使用済み食用油
682,イトーヨーカドー屯田店,北海道札幌市北区 屯田8条3-5-1,なし,011-775-2111,B,なし,なし,なし,なし,なし,なし,使用済み食用油
683,ホクレンショップ屯田8条店,北海道札幌市北区 屯田8条10-6-1,なし,011-775-1131,B,なし,なし,なし,なし,なし,なし,使用済み食用油
684,北清掃事務所,北海道札幌市北区 屯田町990,なし,011-772-5353,B,なし,なし,なし,なし,なし,なし,使用済み食用油
685,百合が原公園リリートレイン駅,北海道札幌市北区 百合が原公園210,なし,011-772-4722,B,なし,なし,なし,なし,なし,なし,使用済み食用油
686,イオン札幌苗穂店,北海道札幌市東区 東苗穂2条3-1-1,なし,011-780-7600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
687,東消防署札苗出張所,北海道札幌市東区 東苗穂4条2,なし,011-782-7019,B,なし,なし,なし,なし,なし,なし,使用済み食用油
688,札苗まちづくりセンター,北海道札幌市東区 東苗穂7条2-2-30,なし,011-783-3608,B,なし,なし,なし,なし,なし,なし,使用済み食用油
689,ホクレンショップ東苗穂店,北海道札幌市東区 東苗穂8条1-18-1,なし,011-791-7071,B,なし,なし,なし,なし,なし,なし,使用済み食用油
690,ザ・ビッグエクスプレスモエレ店,北海道札幌市東区 東苗穂13条2-12-1,なし,011-791-6070,B,なし,なし,なし,なし,なし,なし,使用済み食用油
691,苗穂東まちづくりセンター,北海道札幌市東区 苗穂町3-3-45,なし,011-742-4427,B,なし,なし,なし,なし,なし,なし,使用済み食用油
692,DCMホーマック東雁来店,北海道札幌市東区 東雁来10条3-1-1,なし,011-790-5011,B,なし,なし,なし,なし,なし,なし,使用済み食用油
693,マックスバリュ東雁来店,北海道札幌市東区 東雁来10条3-1-6,なし,011-790-1141,B,なし,なし,なし,なし,なし,なし,使用済み食用油
694,伏古本町まちづくりセンター,北海道札幌市東区 伏古3条3-2-10,なし,011-784-5534,B,なし,なし,なし,なし,なし,なし,使用済み食用油
695,ラルズマート伏古店,北海道札幌市東区 伏古6条3-4-1,なし,011-786-6770,B,なし,なし,なし,なし,なし,なし,使用済み食用油
696,びっくりドンキー伏古店,北海道札幌市東区 伏古10条4-2-7,なし,011-780-2379,A,なし,なし,なし,なし,なし,なし,使用済み食用油
697,コープさっぽろ新道店,北海道札幌市東区 伏古11条3-1-45,なし,011-783-1961,B,なし,なし,なし,なし,なし,なし,使用済み食用油
698,コスモ石油丘珠空港通店,北海道札幌市東区 伏古14条3-10-20,なし,011-786-2611,B,なし,なし,なし,なし,なし,なし,使用済み食用油
699,イトーヨーカドーアリオ札幌店,北海道札幌市東区 北7条東9-2-20,なし,011-712-1111,B,なし,なし,なし,なし,なし,なし,使用済み食用油
700,スーパーアークス苗穂店,北海道札幌市東区 北7条東18-2-10,なし,011-753-2525,B,なし,なし,なし,なし,なし,なし,使用済み食用油
701,東消防署苗穂出張所,北海道札幌市東区 北8条東11,なし,011-750-0119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
702,鉄東まちづくりセンター,北海道札幌市東区 北9条東5-2-8,なし,011-721-3105,B,なし,なし,なし,なし,なし,なし,使用済み食用油
703,東区役所,北海道札幌市東区 北11条東7-1-1,なし,011-741-2409,B,なし,なし,なし,なし,なし,なし,使用済み食用油
704,マックスバリュ光星店,北海道札幌市東区 北13条東7-2,なし,011-743-3611,B,なし,なし,なし,なし,なし,なし,使用済み食用油
705,ビッグハウス光星店,北海道札幌市東区 北14条東3-1-30,なし,011-712-0112,B,なし,なし,なし,なし,なし,なし,使用済み食用油
706,コスモ石油北15条東店,北海道札幌市東区 北15条東18-1-28,なし,011-781-7448,B,なし,なし,なし,なし,なし,なし,使用済み食用油
707,東温水プール,北海道札幌市東区 北16条東16,なし,011-785-6812,B,なし,なし,なし,なし,なし,なし,使用済み食用油
708,タイヤ館北16条環状通,北海道札幌市東区 北16条東18-3-25,なし,011-785-3600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
709,マックスバリュ元町店,北海道札幌市東区 北17条東16-1-10,なし,011-782-1811,B,なし,なし,なし,なし,なし,なし,使用済み食用油
710,北光まちづくりセンター,北海道札幌市東区 北18条東5-1-1,なし,011-721-1271,B,なし,なし,なし,なし,なし,なし,使用済み食用油
711,エネオス元町店,北海道札幌市東区 北18条東16-1-2,なし,011-781-1545,B,なし,なし,なし,なし,なし,なし,使用済み食用油
712,コープさっぽろ元町店,北海道札幌市東区 北21条東16-2-12,なし,011-781-8052,B,なし,なし,なし,なし,なし,なし,使用済み食用油
713,美香保体育館,北海道札幌市東区 北22条東5,なし,011-741-1972,B,なし,なし,なし,なし,なし,なし,使用済み食用油
714,びっくりドンキー美香保店,北海道札幌市東区 北22条東8-16-1,なし,011-750-2921,A,なし,なし,なし,なし,なし,なし,使用済み食用油
715,東消防署,北海道札幌市東区 北24条東17,なし,011-781-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
716,北栄まちづくりセンター,北海道札幌市東区 北25条東7-3-18,なし,011-721-6336,B,なし,なし,なし,なし,なし,なし,使用済み食用油
717,C&Cキャロット北光店,北海道札幌市東区 北26条東8-1-22,なし,011-712-2777,B,なし,なし,なし,なし,なし,なし,使用済み食用油
718,マックスバリュ北26条店,北海道札幌市東区 北26条東15-1-20,なし,011-750-5511,B,なし,なし,なし,なし,なし,なし,使用済み食用油
719,東区体育館,北海道札幌市東区 北27条東14-3-1,なし,011-751-5250,B,なし,なし,なし,なし,なし,なし,使用済み食用油
720,イオン札幌元町店,北海道札幌市東区 北31条東15-1-1,なし,011-750-5200,B,なし,なし,なし,なし,なし,なし,使用済み食用油
721,東消防署北栄出張所,北海道札幌市東区 北39条東1,なし,011-731-1566,B,なし,なし,なし,なし,なし,なし,使用済み食用油
722,マックスバリュエクスプレス新道店,北海道札幌市東区 北34条東16-1-30,なし,011-784-5321,B,なし,なし,なし,なし,なし,なし,使用済み食用油
723,ラルズマート北35条店,北海道札幌市東区 北35条東4-1-1,なし,011-712-3338,B,なし,なし,なし,なし,なし,なし,使用済み食用油
724,エネオスチャレンジ北39条店,北海道札幌市東区 北39条東15-536,なし,011-753-7200,B,なし,なし,なし,なし,なし,なし,使用済み食用油
725,マックスバリュ北40条店,北海道札幌市東区 北40条東1-3-1,なし,011-748-6600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
726,東老人福祉センター,北海道札幌市東区 北41条東14-1-1,なし,011-741-1000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
727,栄東まちづくりセンター,北海道札幌市東区 北41条東14-3-1,なし,011-711-2203,B,なし,なし,なし,なし,なし,なし,使用済み食用油
728,ザ・ビックエクスプレス栄町店,北海道札幌市東区 北41条東17-4-1,なし,011-781-8700,B,なし,なし,なし,なし,なし,なし,使用済み食用油
729,栄西まちづくりセンター,北海道札幌市東区 北42条東4-1-26,なし,011-752-9536,B,なし,なし,なし,なし,なし,なし,使用済み食用油
730,東消防署栄出張所,北海道札幌市東区 北46条東14,なし,011-751-1381,B,なし,なし,なし,なし,なし,なし,使用済み食用油
731,ホクレンショップ49条店,北海道札幌市東区 北49条東15-723-1,なし,011-733-2661,B,なし,なし,なし,なし,なし,なし,使用済み食用油
732,プライスマート苗穂店,北海道札幌市東区 本町2条6-6-50,なし,011-781-1761,B,なし,なし,なし,なし,なし,なし,使用済み食用油
733,つどーむ,北海道札幌市東区 栄町885-1,なし,011-784-2106,B,なし,なし,なし,なし,なし,なし,使用済み食用油
734,東消防署丘珠出張所,北海道札幌市東区 北丘珠1条2,なし,011-784-5119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
735,丘珠まちづくりセンター,北海道札幌市東区 丘珠町183-2,なし,011-781-4283,B,なし,なし,なし,なし,なし,なし,使用済み食用油
736,さっぽろさとらんどセンター,北海道札幌市東区 丘珠町584,なし,011-787-0223,B,なし,なし,なし,なし,なし,なし,使用済み食用油
737,東清掃事務所,北海道札幌市東区 丘珠町873,なし,011-781-6653,B,なし,なし,なし,なし,なし,なし,使用済み食用油
738,コープさっぽろ川下店,北海道札幌市白石区 川下3条4-1-1,なし,011-872-4731,B,なし,なし,なし,なし,なし,なし,使用済み食用油
739,ラルズマート新ほくと店,北海道札幌市白石区 川下4条1-1-1,なし,011-879-2002,B,なし,なし,なし,なし,なし,なし,使用済み食用油
740,川下公園,北海道札幌市白石区 川下2651,なし,011-879-5311,B,なし,なし,なし,なし,なし,なし,使用済み食用油
741,マックスバリュ菊水店,北海道札幌市白石区 菊水2条2-1-11,なし,011-841-6860,B,なし,なし,なし,なし,なし,なし,使用済み食用油
742,エネオス菊水店,北海道札幌市白石区 菊水3条2-1-28,なし,011-822-6021,B,なし,なし,なし,なし,なし,なし,使用済み食用油
743,スーパーアークス菊水店,北海道札幌市白石区 菊水3条5-2-25,なし,011-837-5757,B,なし,なし,なし,なし,なし,なし,使用済み食用油
744,コープさっぽろ菊水元町店,北海道札幌市白石区 菊水元町6条1-8-21,なし,011-871-4997,B,なし,なし,なし,なし,なし,なし,使用済み食用油
745,白石消防署元町出張所,北海道札幌市白石区 菊水元町8条2,なし,011-874-9238,B,なし,なし,なし,なし,なし,なし,使用済み食用油
746,白石消防署菊水出張所,北海道札幌市白石区 菊水上町1条3,なし,011-811-1615,B,なし,なし,なし,なし,なし,なし,使用済み食用油
747,北白石まちづくりセンター,北海道札幌市白石区 北郷2条3-11-21,なし,011-874-0293,B,なし,なし,なし,なし,なし,なし,使用済み食用油
748,コープさっぽろ北郷店,北海道札幌市白石区 北郷2条4-4-10,なし,011-871-3030,B,なし,なし,なし,なし,なし,なし,使用済み食用油
749,タイヤ館北郷店,北海道札幌市白石区 北郷2条7-4-15,なし,011-872-6255,B,なし,なし,なし,なし,なし,なし,使用済み食用油
750,マックスバリュ北郷店,北海道札幌市白石区 北郷2条7-6-25,なし,011-874-7172,B,なし,なし,なし,なし,なし,なし,使用済み食用油
751,白石消防署北郷出張所,北海道札幌市白石区 北郷3条5,なし,011-871-8235,B,なし,なし,なし,なし,なし,なし,使用済み食用油
752,エネオス北郷ｲﾝﾀｰ店,北海道札幌市白石区 北郷6条7-2-3,なし,011-872-7211,B,なし,なし,なし,なし,なし,なし,使用済み食用油
753,白石老人福祉センター,北海道札幌市白石区 栄通6-19-20,なし,011-851-1551,B,なし,なし,なし,なし,なし,なし,使用済み食用油
754,コープさっぽろLUCY店,北海道札幌市白石区 栄通18-5-35,なし,011-854-4811,B,なし,なし,なし,なし,なし,なし,使用済み食用油
755,エネオス栄通店,北海道札幌市白石区 栄通20-1-31,なし,011-851-5113,B,なし,なし,なし,なし,なし,なし,使用済み食用油
756,びっくりドンキー白石中央店,北海道札幌市白石区 中央2条6-10-1,なし,011-860-8850,A,なし,なし,なし,なし,なし,なし,使用済み食用油
757,末廣屋電機株式会社東札幌ショールーム,北海道札幌市白石区 東札幌1条2-1-1,なし,011-832-0022,B,なし,なし,なし,なし,なし,なし,使用済み食用油
758,東札幌まちづくりセンター,北海道札幌市白石区 東札幌2条4-3-14,なし,011-811-9355,B,なし,なし,なし,なし,なし,なし,使用済み食用油
759,マックスバリュ東札幌店,北海道札幌市白石区 東札幌4条1-1-1,なし,011-820-6700,B,なし,なし,なし,なし,なし,なし,使用済み食用油
760,白石消防署,北海道札幌市白石区 南郷通6-北,なし,011-861-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
761,白石区体育館,北海道札幌市白石区 南郷通6-北1,なし,011-861-4014,B,なし,なし,なし,なし,なし,なし,使用済み食用油
762,びっくりドンキー南郷通店,北海道札幌市白石区 南郷通9-北1-10,なし,011-860-6070,A,なし,なし,なし,なし,なし,なし,使用済み食用油
763,白石区役所,北海道札幌市白石区 南郷通１-南8-1,なし,011-861-2405,B,なし,なし,なし,なし,なし,なし,使用済み食用油
764,ビッグハウス白石店,北海道札幌市白石区 平和通3-北1-1,なし,011-868-0730,B,なし,なし,なし,なし,なし,なし,使用済み食用油
765,白石温水プール,北海道札幌市白石区 平和通1-南2-5,なし,011-846-0004,B,なし,なし,なし,なし,なし,なし,使用済み食用油
766,ザ・ビッグクスプレス白石中央店,北海道札幌市白石区 本通2-北8-45,なし,011-863-4680,B,なし,なし,なし,なし,なし,なし,使用済み食用油
767,ダイイチ白石神社前店,北海道札幌市白石区 本通13-北3-39,なし,011-860-5566,B,なし,なし,なし,なし,なし,なし,使用済み食用油
768,白石消防署東白石出張所,北海道札幌市白石区 本通18-北,なし,011-864-9111,B,なし,なし,なし,なし,なし,なし,使用済み食用油
769,コスモ石油大谷地流通ｾﾝﾀｰ店,北海道札幌市白石区 本通20-北1-65,なし,011-862-1943,B,なし,なし,なし,なし,なし,なし,使用済み食用油
770,コスモ石油ローズアベニュー白石店,北海道札幌市白石区 本通1-南2-10,なし,011-861-4370,B,なし,なし,なし,なし,なし,なし,使用済み食用油
771,計量検査所,北海道札幌市白石区 本通7-南7-20,なし,011-846-6681,B,なし,なし,なし,なし,なし,なし,使用済み食用油
772,コープさっぽろほんどおり店,北海道札幌市白石区 本通8-南1-1,なし,011-861-7172,B,なし,なし,なし,なし,なし,なし,使用済み食用油
773,白石東まちづくりセンター,北海道札幌市白石区 本通18-南2-6,なし,011-862-0813,B,なし,なし,なし,なし,なし,なし,使用済み食用油
774,白石清掃事務所,北海道札幌市白石区 東米里2170,なし,011-876-1753,B,なし,なし,なし,なし,なし,なし,使用済み食用油
775,交通局本局庁舎,北海道札幌市厚別区 大谷地東2-4-1,なし,011-896-2708,B,なし,なし,なし,なし,なし,なし,使用済み食用油
776,大谷地バスターミナル,北海道札幌市厚別区 大谷地東3-2-1,なし,011-891-3615,B,なし,なし,なし,なし,なし,なし,使用済み食用油
777,札幌フードセンター森林公園店,北海道札幌市厚別区 厚別北2条5-1-1,なし,011-891-5511,B,なし,なし,なし,なし,なし,なし,使用済み食用油
778,厚別区民センター,北海道札幌市厚別区 厚別中央1条5-3-14,なし,011-894-1581,B,なし,なし,なし,なし,なし,なし,使用済み食用油
779,厚別消防署,北海道札幌市厚別区 厚別中央1条5,なし,011-892-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
780,厚別老人福祉センター,北海道札幌市厚別区 厚別中央1条7-17-25,なし,011-892-2211,B,なし,なし,なし,なし,なし,なし,使用済み食用油
781,ビッグハウスイースト,北海道札幌市厚別区 厚別中央2条2-2-6,なし,011-896-6600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
782,厚別区体育館,北海道札幌市厚別区 厚別中央2条5-1-20,なし,011-892-0362,B,なし,なし,なし,なし,なし,なし,使用済み食用油
783,厚別温水プール,北海道札幌市厚別区 厚別中央2条6-3-1,なし,011-896-1861,B,なし,なし,なし,なし,なし,なし,使用済み食用油
784,C&Cキャロット新さっぽろ店,北海道札幌市厚別区 厚別中央3条4-6-2,なし,011-893-9000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
785,エネオスチャレンジ新さっぽろ店,北海道札幌市厚別区 厚別中央3条6-1-11,なし,011-894-8412,B,なし,なし,なし,なし,なし,なし,使用済み食用油
786,厚別中央まちづくりセンター,北海道札幌市厚別区 厚別中央4条3-3-6,なし,011-891-3907,B,なし,なし,なし,なし,なし,なし,使用済み食用油
787,厚別西まちづくりセンター,北海道札幌市厚別区 厚別西2条3-8-31,なし,011-891-4555,B,なし,なし,なし,なし,なし,なし,使用済み食用油
788,厚別消防署厚別西出張所,北海道札幌市厚別区 厚別西3条5,なし,011-894-3119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
789,マックスバリュ厚別東店,北海道札幌市厚別区 厚別東1条1-3-1,なし,011-809-5611,B,なし,なし,なし,なし,なし,なし,使用済み食用油
790,厚別地区リサイクルセンター,北海道札幌市厚別区 厚別東3条1-1-10,リユースプラザ内,011-375-1133,B,なし,なし,なし,なし,なし,なし,使用済み食用油
791,DCMホーマック厚別東店,北海道札幌市厚別区 厚別東5条1-2-10,なし,011-809-5000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
792,厚別南まちづくりセンター,北海道札幌市厚別区 厚別南1-15-10,なし,011-891-1666,B,なし,なし,なし,なし,なし,なし,使用済み食用油
793,コープさっぽろひばりが丘店,北海道札幌市厚別区 厚別南1-9-1,なし,011-891-7571,B,なし,なし,なし,なし,なし,なし,使用済み食用油
794,びっくりドンキーひばりヶ丘店,北海道札幌市厚別区 厚別南2-10,なし,011-801-2045,A,なし,なし,なし,なし,なし,なし,使用済み食用油
795,マックスバリュ厚別店,北海道札幌市厚別区 厚別南5-22-50,なし,011-896-7111,B,なし,なし,なし,なし,なし,なし,使用済み食用油
796,厚別公園競技場,北海道札幌市厚別区 上野幌3条1,なし,011-894-1144,B,なし,なし,なし,なし,なし,なし,使用済み食用油
797,エネオスベニータウン店,北海道札幌市厚別区 上野幌3条4-18-1,なし,011-895-6767,B,なし,なし,なし,なし,なし,なし,使用済み食用油
798,厚別消防署もみじ台出張所,北海道札幌市厚別区 もみじ台北7,なし,011-897-4119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
799,コスモ石油もみじ台店,北海道札幌市厚別区 もみじ台北7-1-6,なし,011-897-8059,B,なし,なし,なし,なし,なし,なし,使用済み食用油
800,豊平消防署美園出張所,北海道札幌市豊平区 豊平1条12,なし,011-831-7930,B,なし,なし,なし,なし,なし,なし,使用済み食用油
801,ザ・ビッグ豊平店,北海道札幌市豊平区 豊平4条9-3-1,なし,011-823-7077,B,なし,なし,なし,なし,なし,なし,使用済み食用油
802,豊平公園緑のセンター,北海道札幌市豊平区 豊平5条13,なし,011-811-6568,B,なし,なし,なし,なし,なし,なし,使用済み食用油
803,豊平料金センター,北海道札幌市豊平区 豊平8条10-2-1,なし,011-812-7200,B,なし,なし,なし,なし,なし,なし,使用済み食用油
804,札幌フードセンター月寒中央店,北海道札幌市豊平区 月寒中央通7-6-20,なし,011-854-0021,B,なし,なし,なし,なし,なし,なし,使用済み食用油
805,豊平消防署,北海道札幌市豊平区 月寒東1条8,なし,011-852-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
806,月寒体育館,北海道札幌市豊平区 月寒東1条8,なし,011-851-1972,B,なし,なし,なし,なし,なし,なし,使用済み食用油
807,どうぎんカーリングスタジアム,北海道札幌市豊平区 月寒東1条9,なし,011-853-4572,B,なし,なし,なし,なし,なし,なし,使用済み食用油
808,豊平区体育館,北海道札幌市豊平区 月寒東2条20-4-15,なし,011-855-0791,B,なし,なし,なし,なし,なし,なし,使用済み食用油
809,スーパーアークス月寒東店,北海道札幌市豊平区 月寒東3条8-1-30,なし,011-851-5115,B,なし,なし,なし,なし,なし,なし,使用済み食用油
810,東月寒地区センター,北海道札幌市豊平区 月寒東3条18-5-1,なし,011-853-2011,B,なし,なし,なし,なし,なし,なし,使用済み食用油
811,コープさっぽろ月寒ひがし店,北海道札幌市豊平区 月寒東4条11-3-10,月寒東ショッピングセンター内,011-851-7600,B,なし,なし,なし,なし,なし,なし,使用済み食用油
812,DCMホーマック西岡店,北海道札幌市豊平区 西岡1条8-8-1,なし,011-858-1700,B,なし,なし,なし,なし,なし,なし,使用済み食用油
813,イオン札幌西岡店,北海道札幌市豊平区 西岡3条3-4-1,なし,011-856-1000,B,なし,なし,なし,なし,なし,なし,使用済み食用油
814,ザ・ビッグ西岡店,北海道札幌市豊平区 西岡3条7-220,なし,011-855-0077,B,なし,なし,なし,なし,なし,なし,使用済み食用油
815,ラルズマート西岡店,北海道札幌市豊平区 西岡4条1-1-20,なし,011-852-6250,B,なし,なし,なし,なし,なし,なし,使用済み食用油
816,コスモ石油西岡店,北海道札幌市豊平区 西岡4条3-7-39,なし,011-854-4983,B,なし,なし,なし,なし,なし,なし,使用済み食用油
817,びっくりドンキー西岡店,北海道札幌市豊平区 西岡4条4-2-10,なし,011-859-2155,A,なし,なし,なし,なし,なし,なし,使用済み食用油
818,豊平消防署西岡出張所,北海道札幌市豊平区 西岡4条6,なし,011-852-5119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
819,コープさっぽろ中の島店,北海道札幌市豊平区 中の島1条4-7-1,なし,011-831-9235,B,なし,なし,なし,なし,なし,なし,使用済み食用油
820,豊平老人福祉センター,北海道札幌市豊平区 中の島2条3-8-1,なし,011-811-5201,B,なし,なし,なし,なし,なし,なし,使用済み食用油
821,豊平消防署平岸出張所,北海道札幌市豊平区 平岸1条11,なし,011-831-3901,B,なし,なし,なし,なし,なし,なし,使用済み食用油
822,ビッグハウスエクストラ,北海道札幌市豊平区 平岸1条22-2-15,なし,011-815-7778,B,なし,なし,なし,なし,なし,なし,使用済み食用油
823,びっくりドンキーミュンヘン大橋店,北海道札幌市豊平区 平岸1条22-2-23,なし,011-837-5701,A,なし,なし,なし,なし,なし,なし,使用済み食用油
824,平岸まちづくりセンター,北海道札幌市豊平区 平岸2条7-2-5,なし,011-811-9545,B,なし,なし,なし,なし,なし,なし,使用済み食用油
825,南平岸まちづくりセンター,北海道札幌市豊平区 平岸2条14-1-26,なし,011-814-1440,B,なし,なし,なし,なし,なし,なし,使用済み食用油
826,マックスバリュ平岸店,北海道札幌市豊平区 平岸3条13-6-1,なし,011-812-4511,B,なし,なし,なし,なし,なし,なし,使用済み食用油
827,ラルズストア平岸店,北海道札幌市豊平区 平岸5条8-1-1,なし,011-822-3963,B,なし,なし,なし,なし,なし,なし,使用済み食用油
828,平岸プール,北海道札幌市豊平区 平岸5条14-1-1,なし,011-832-7529,B,なし,なし,なし,なし,なし,なし,使用済み食用油
829,豊平区役所,北海道札幌市豊平区 平岸6条10-1-1,なし,011-822-2405,B,なし,なし,なし,なし,なし,なし,使用済み食用油
830,エネオス南平岸店,北海道札幌市豊平区 平岸6条13-4-1,なし,011-821-6792,B,なし,なし,なし,なし,なし,なし,使用済み食用油
831,福住バスターミナル,北海道札幌市豊平区 福住2条1-2-1,なし,なし,B,なし,なし,なし,なし,なし,なし,使用済み食用油
832,イトーヨーカドー福住店,北海道札幌市豊平区 福住2条1-2-5,なし,011-856-5511,B,なし,なし,なし,なし,なし,なし,使用済み食用油
833,エネオス羊ヶ丘店,北海道札幌市豊平区 福住2条1-26,なし,011-851-6303,B,なし,なし,なし,なし,なし,なし,使用済み食用油
834,ラルズマート美園店,北海道札幌市豊平区 美園2条1-2-1,なし,011-817-0123,B,なし,なし,なし,なし,なし,なし,使用済み食用油
835,豊平公園温水プール,北海道札幌市豊平区 美園6条1-1,なし,011-813-6556,B,なし,なし,なし,なし,なし,なし,使用済み食用油
836,コープさっぽろ美園店,北海道札幌市豊平区 美園6条7-2,なし,011-821-2015,B,なし,なし,なし,なし,なし,なし,使用済み食用油
837,豊平消防署東月寒出張所,北海道札幌市豊平区 羊ケ丘1,なし,011-851-2515,B,なし,なし,なし,なし,なし,なし,使用済み食用油
838,DCMホーマック北野通店,北海道札幌市清田区 北野3条2-13-75,なし,011-883-1496,B,なし,なし,なし,なし,なし,なし,使用済み食用油
839,スーパーアークス北野店,北海道札幌市清田区 北野3条2-13-88,なし,011-881-1550,B,なし,なし,なし,なし,なし,なし,使用済み食用油
840,コスモ石油北野店,北海道札幌市清田区 北野6条1-4-38,なし,011-883-0816,B,なし,なし,なし,なし,なし,なし,使用済み食用油
841,エネオス平岡通店,北海道札幌市清田区 北野6条5-374-523,なし,011-883-0881,B,なし,なし,なし,なし,なし,なし,使用済み食用油
842,マックスバリュ北野店　　　,北海道札幌市清田区 北野7条3-7-15,なし,011-889-3639,B,なし,なし,なし,なし,なし,なし,使用済み食用油
843,清田消防署北野出張所,北海道札幌市清田区 北野7条5,なし,011-881-5171,B,なし,なし,なし,なし,なし,なし,使用済み食用油
844,清田区民センター,北海道札幌市清田区 清田1条2-5-35,なし,011-883-2050,B,なし,なし,なし,なし,なし,なし,使用済み食用油
845,びっくりドンキー清田店,北海道札幌市清田区 清田2条1-2-1,なし,011-889-2089,A,なし,なし,なし,なし,なし,なし,使用済み食用油
846,清田老人福祉センター,北海道札幌市清田区 清田3条3-1-30,なし,011-885-8500,B,なし,なし,なし,なし,なし,なし,使用済み食用油
847,清田中央まちづくりセンター,北海道札幌市清田区 清田6条2-10-1,なし,011-884-7187,B,なし,なし,なし,なし,なし,なし,使用済み食用油
848,清田消防署,北海道札幌市清田区 平岡1条1,なし,011-883-2100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
849,清田区体育館温水プール,北海道札幌市清田区 平岡1条5-4-1,なし,011-882-9500,B,なし,なし,なし,なし,なし,なし,使用済み食用油
850,フードD平岡食彩館,北海道札幌市清田区 平岡2条3-9-1,なし,011-887-1155,B,なし,なし,なし,なし,なし,なし,使用済み食用油
851,エネオスセルフ平岡梅林店,北海道札幌市清田区 平岡3条2-12-30,なし,011-886-3010,B,なし,なし,なし,なし,なし,なし,使用済み食用油
852,イオン札幌平岡店,北海道札幌市清田区 平岡3条5-3-1,なし,011-889-5001,B,なし,なし,なし,なし,なし,なし,使用済み食用油
853,タイヤ館平岡店,北海道札幌市清田区 平岡7条1-3-12,なし,011-882-2519,B,なし,なし,なし,なし,なし,なし,使用済み食用油
854,平岡まちづくりセンター,北海道札幌市清田区 平岡7条3-9-25,なし,011-883-7100,B,なし,なし,なし,なし,なし,なし,使用済み食用油
855,コープさっぽろ平岡店,北海道札幌市清田区 平岡公園東3-1-5,なし,011-885-3539,B,なし,なし,なし,なし,なし,なし,使用済み食用油
856,平岡公園管理事務所,北海道札幌市清田区 平岡公園1-1,なし,011-881-7924,B,なし,なし,なし,なし,なし,なし,使用済み食用油
857,清田消防署里塚出張所,北海道札幌市清田区 里塚1条4,なし,011-883-1119,B,なし,なし,なし,なし,なし,なし,使用済み食用油
858,里塚・美しが丘まちづくりセンター,北海道札幌市清田区 里塚2条5-1-1,なし,011-884-1210,B,なし,なし,なし,なし,なし,なし,使用済み食用油
859,ホクレンショップ平岡公園通り店,北海道札幌市清田区 里塚緑が丘5-1-10,なし,011-882-7520,B,なし,なし,なし,なし,なし,なし,使用済み食用油
860,C&Cキャロット真栄店,北海道札幌市清田区 真栄4条3-2-8,なし,011-888-2777,B,なし,なし,なし,なし,なし,なし,使用済み食用油
861,ビッグハウス里塚店,北海道札幌市清田区 美しが丘1条7-1-1,なし,011-883-0800,B,なし,なし,なし,なし,なし,なし,使用済み食用油
862,フードDValue,北海道札幌市清田区 美しが丘4条6-1-1,なし,011-888-8222,B,なし,なし,なし,なし,なし,なし,使用済み食用油
863,中央地区リサイクルセンター,北海道札幌市南区 南30条西8-7-1,中央清掃事務所敷地内,011-581-1153,B,なし,なし,なし,なし,なし,なし,使用済み食用油
864,藻岩下まちづくりセンター,北海道札幌市南区 南34条西9-2-1,なし,011-581-2001,B,なし,なし,なし,なし,なし,なし,使用済み食用油
